t: 0.200859
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
            12|     -0.002521      0.002508      0.002423      0.002184      0.001885      0.001564      0.001245     0.0009421      0.000657     0.0003878      0.000129    -0.0001261     -0.000385    -0.0006545      -0.00094     -0.001244     -0.001563     -0.001886     -0.002187     -0.002428     -0.002514      0.002527
            11|     -0.002071       0.00206      0.002009       0.00184      0.001618      0.001369       0.00111     0.0008519     0.0006009     0.0003574     0.0001192     -0.000117    -0.0003552    -0.0005991    -0.0008505     -0.001109     -0.001369      -0.00162     -0.001843     -0.002013     -0.002065      0.002075
            10|     -0.001713      0.001705      0.001673      0.001548       0.00138      0.001184     0.0009723     0.0007551     0.0005374     0.0003215     0.0001075    -0.0001058    -0.0003199     -0.000536    -0.0007541    -0.0009719     -0.001184     -0.001381      -0.00155     -0.001675     -0.001708      0.001716
             9|     -0.001422      0.001415      0.001394        0.0013       0.00117      0.001014     0.0008409     0.0006587     0.0004721     0.0002837     9.503e-05    -9.372e-05    -0.0002825     -0.000471     -0.000658    -0.0008407     -0.001014     -0.001171     -0.001301     -0.001396     -0.001417      0.001424
             8|     -0.001181      0.001175      0.001161      0.001088     0.0009855     0.0008603     0.0007189     0.0005668     0.0004083     0.0002463      8.26e-05    -8.162e-05    -0.0002454    -0.0004076    -0.0005664    -0.0007188    -0.0008605    -0.0009861     -0.001089     -0.001162     -0.001176      0.001182
             7|    -0.0009769      0.000972     0.0009622     0.0009051     0.0008239     0.0007231     0.0006076     0.0004814     0.0003482     0.0002106     7.069e-05    -6.996e-05    -0.0002099    -0.0003476    -0.0004811    -0.0006075    -0.0007233    -0.0008244    -0.0009059    -0.0009631     -0.000973     0.0009778
             6|    -0.0008024     0.0007984     0.0007915     0.0007465     0.0006818     0.0006008     0.0005068      0.000403     0.0002923     0.0001772     5.951e-05    -5.898e-05    -0.0001767     -0.000292    -0.0004028    -0.0005067    -0.0006009    -0.0006822     -0.000747    -0.0007922    -0.0007991     0.0008031
             5|     -0.000651     0.0006478     0.0006428     0.0006073     0.0005561     0.0004914     0.0004157     0.0003315      0.000241     0.0001463     4.916e-05    -4.877e-05    -0.0001459    -0.0002407    -0.0003313    -0.0004157    -0.0004916    -0.0005564    -0.0006077    -0.0006433    -0.0006483     0.0006515
             4|    -0.0005177     0.0005151     0.0005115     0.0004839     0.0004439     0.0003931     0.0003332     0.0002662     0.0001939     0.0001178      3.96e-05    -3.932e-05    -0.0001176    -0.0001937    -0.0002661    -0.0003332    -0.0003932    -0.0004441    -0.0004842    -0.0005119    -0.0005155     0.0005181
             3|    -0.0003984     0.0003964     0.0003938     0.0003729     0.0003425     0.0003037     0.0002579     0.0002063     0.0001504     9.147e-05     3.075e-05    -3.056e-05     -9.13e-05    -0.0001503    -0.0002062    -0.0002579    -0.0003038    -0.0003427    -0.0003731    -0.0003941    -0.0003967     0.0003987
             2|    -0.0002897     0.0002882     0.0002864     0.0002714     0.0002495     0.0002215     0.0001882     0.0001507       0.00011     6.693e-05      2.25e-05    -2.238e-05    -6.681e-05    -0.0001099    -0.0001507    -0.0001882    -0.0002215    -0.0002496    -0.0002716    -0.0002866    -0.0002884     0.0002899
             1|    -0.0001886     0.0001876     0.0001865     0.0001768     0.0001626     0.0001445     0.0001229     9.844e-05     7.186e-05     4.374e-05     1.471e-05    -1.463e-05    -4.368e-05    -7.181e-05    -9.842e-05    -0.0001229    -0.0001445    -0.0001627    -0.0001769    -0.0001866    -0.0001877     0.0001887
             0|    -9.237e-05     9.191e-05     9.138e-05     8.665e-05     7.973e-05     7.084e-05     6.027e-05     4.831e-05     3.528e-05     2.148e-05     7.222e-06    -7.188e-06    -2.145e-05    -3.526e-05    -4.831e-05    -6.028e-05    -7.086e-05    -7.976e-05     -8.67e-05    -9.144e-05    -9.197e-05     9.243e-05
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0

rhs (22x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            20|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
            19|             0         1.967     -0.009206    -0.0007461    -0.0004084    -0.0003971    -0.0003108    -0.0001923    -6.603e-05     6.533e-05     0.0002088     0.0003779     0.0005944     0.0008957      0.001352      0.002106       0.00348      0.006221       0.01182       0.01808        -2.034             0
            18|             0      -0.01523        0.0143      0.007224      0.003235       0.00163     0.0009327     0.0005981     0.0004263     0.0003381        0.0003     0.0002996     0.0003367     0.0004237     0.0005938      0.000927      0.001626      0.003245       0.00729       0.01448       0.01178             0
            17|             0     -0.009873     -0.001563    -0.0006678    -0.0002698    -0.0001184    -5.541e-05    -2.666e-05     -1.27e-05    -5.813e-06    -2.789e-06    -2.431e-06    -4.738e-06     -1.09e-05     -2.41e-05    -5.198e-05    -0.0001137    -0.0002628    -0.0006569      -0.00157      0.003335             0
            16|             0     -0.004538    -0.0005372     -0.000324    -0.0001783    -9.798e-05    -5.554e-05    -3.279e-05    -2.039e-05    -1.376e-05    -1.071e-05    -1.036e-05    -1.273e-05    -1.871e-05     -3.05e-05    -5.275e-05    -9.495e-05    -0.0001757    -0.0003239    -0.0005434      0.002815             0
            15|             0     -0.002627    -0.0002364    -0.0001662    -0.0001086    -6.938e-05    -4.474e-05    -2.971e-05    -2.072e-05    -1.557e-05    -1.308e-05    -1.274e-05    -1.456e-05    -1.906e-05    -2.747e-05    -4.199e-05    -6.632e-05    -0.0001055    -0.0001638    -0.0002354      0.002016             0
            14|             0      -0.00174    -0.0001206     -9.42e-05    -6.895e-05    -4.928e-05    -3.522e-05    -2.568e-05    -1.948e-05     -1.57e-05    -1.377e-05    -1.344e-05     -1.47e-05    -1.784e-05    -2.345e-05    -3.247e-05    -4.613e-05    -6.556e-05    -9.082e-05    -0.0001175      0.001465             0
            13|             0     -0.001252    -6.841e-05    -5.749e-05     -4.56e-05    -3.535e-05    -2.729e-05    -2.134e-05    -1.719e-05    -1.451e-05    -1.306e-05    -1.273e-05    -1.351e-05    -1.555e-05     -1.91e-05    -2.451e-05    -3.211e-05    -4.201e-05    -5.367e-05    -6.445e-05      0.001105             0
            12|             0    -0.0009506    -4.216e-05     -3.72e-05    -3.121e-05    -2.563e-05    -2.091e-05    -1.719e-05    -1.443e-05    -1.255e-05    -1.147e-05    -1.113e-05    -1.155e-05    -1.279e-05    -1.494e-05     -1.81e-05    -2.233e-05     -2.75e-05    -3.316e-05    -3.786e-05     0.0008633             0
            11|             0    -0.0007499    -2.778e-05    -2.528e-05    -2.202e-05    -1.881e-05    -1.593e-05    -1.353e-05    -1.166e-05    -1.032e-05    -9.483e-06    -9.146e-06    -9.313e-06    -1.001e-05    -1.126e-05    -1.309e-05    -1.546e-05    -1.823e-05    -2.112e-05    -2.331e-05      0.000693             0
            10|             0    -0.0006084    -1.936e-05    -1.792e-05    -1.598e-05    -1.398e-05    -1.211e-05    -1.048e-05    -9.151e-06    -8.144e-06    -7.469e-06     -7.13e-06    -7.131e-06    -7.484e-06    -8.191e-06    -9.243e-06    -1.059e-05    -1.213e-05    -1.368e-05     -1.48e-05     0.0005685             0
             9|             0    -0.0005043    -1.418e-05    -1.322e-05    -1.193e-05    -1.056e-05    -9.234e-06    -8.038e-06    -7.023e-06    -6.218e-06    -5.641e-06    -5.298e-06    -5.197e-06    -5.342e-06    -5.728e-06    -6.337e-06    -7.129e-06    -8.029e-06    -8.924e-06    -9.541e-06     0.0004746             0
             8|             0    -0.0004255    -1.086e-05    -1.013e-05    -9.164e-06    -8.125e-06    -7.095e-06     -6.14e-06    -5.303e-06    -4.614e-06    -4.092e-06    -3.746e-06    -3.584e-06    -3.606e-06    -3.808e-06    -4.171e-06    -4.661e-06    -5.223e-06    -5.784e-06    -6.169e-06     0.0004021             0
             7|             0    -0.0003647    -8.684e-06    -8.062e-06    -7.264e-06    -6.398e-06    -5.526e-06    -4.701e-06    -3.961e-06    -3.335e-06    -2.842e-06    -2.493e-06    -2.295e-06    -2.248e-06    -2.346e-06    -2.572e-06    -2.898e-06    -3.281e-06    -3.668e-06    -3.942e-06     0.0003454             0
             6|             0    -0.0003173    -7.238e-06    -6.666e-06    -5.955e-06     -5.18e-06    -4.391e-06    -3.634e-06    -2.944e-06     -2.35e-06     -1.87e-06    -1.517e-06    -1.298e-06    -1.212e-06    -1.252e-06    -1.403e-06    -1.639e-06    -1.926e-06    -2.222e-06    -2.441e-06     0.0003007             0
             5|             0    -0.0002805    -6.275e-06    -5.725e-06    -5.058e-06    -4.329e-06    -3.582e-06    -2.859e-06    -2.193e-06    -1.613e-06    -1.137e-06    -7.802e-07    -5.473e-07    -4.387e-07    -4.468e-07    -5.564e-07    -7.439e-07    -9.783e-07    -1.224e-06    -1.417e-06     0.0002654             0
             4|             0     -0.000252    -5.643e-06    -5.099e-06    -4.454e-06    -3.748e-06     -3.02e-06    -2.311e-06    -1.654e-06    -1.078e-06    -6.014e-07    -2.389e-07     3.164e-09     1.254e-07     1.357e-07      4.94e-08    -1.107e-07    -3.158e-07    -5.341e-07    -7.148e-07      0.000238             0
             3|             0    -0.0002307    -5.244e-06      -4.7e-06    -4.064e-06    -3.365e-06    -2.645e-06    -1.939e-06    -1.283e-06    -7.039e-07    -2.231e-07     1.453e-07     3.949e-07     5.264e-07     5.481e-07     4.757e-07     3.315e-07     1.429e-07    -6.007e-08    -2.349e-07     0.0002173             0
             2|             0    -0.0002155    -5.016e-06    -4.468e-06    -3.832e-06    -3.134e-06    -2.412e-06    -1.704e-06    -1.043e-06    -4.584e-07     2.905e-08     4.045e-07     6.613e-07     8.003e-07     8.301e-07     7.668e-07     6.323e-07     4.536e-07     2.593e-07     8.675e-08     0.0002023             0
             1|             0    -0.0002059    -4.934e-06     -4.38e-06    -3.741e-06    -3.039e-06    -2.312e-06    -1.597e-06    -9.283e-07    -3.342e-07     1.632e-07     5.492e-07     8.167e-07     9.666e-07     1.008e-06     9.556e-07     8.322e-07     6.637e-07     4.777e-07     3.082e-07     0.0001927             0
             0|             0    -2.208e-05     0.0001699     0.0001616      0.000149     0.0001327     0.0001131     9.085e-05     6.638e-05     4.033e-05     1.327e-05    -1.424e-05    -4.161e-05    -6.825e-05    -9.355e-05    -0.0001169    -0.0001376    -0.0001551    -0.0001688    -0.0001782     4.646e-06             0
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0

