t: 0.200859
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
            -1|             0     0.0001049      0.000209     0.0003077     0.0003985     0.0004791     0.0005478     0.0006028      0.000643     0.0006675     0.0006757     0.0006676     0.0006431      0.000603      0.000548     0.0004794     0.0003987     0.0003078     0.0002091      0.000105             0

v (22x21):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            19|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
            18|      -0.01923       0.01923      0.007761      0.003579      0.001899      0.001116     0.0006979     0.0004469     0.0002793      0.000155      5.19e-05    -4.458e-05     -0.000147    -0.0002697    -0.0004347    -0.0006817     -0.001094     -0.001872     -0.003553     -0.007766      -0.01935       0.01935
            17|      -0.01157       0.01157      0.007658       0.00469      0.002921      0.001877      0.001235     0.0008144     0.0005174     0.0002892     9.606e-05    -8.609e-05    -0.0002784    -0.0005048    -0.0007989     -0.001215     -0.001852     -0.002889     -0.004657     -0.007656      -0.01173       0.01173
            16|     -0.007837      0.007837      0.006322      0.004568      0.003203      0.002231      0.001548      0.001056     0.0006851     0.0003872     0.0001281    -0.0001185     -0.000377    -0.0006738     -0.001043     -0.001533     -0.002215     -0.003188     -0.004563     -0.006343     -0.007911      0.007911
            15|     -0.005754      0.005754      0.005087      0.004058      0.003092      0.002296      0.001669      0.001176     0.0007798     0.0004462     0.0001478    -0.0001392    -0.0004374    -0.0007705     -0.001166     -0.001659     -0.002287     -0.003087     -0.004061     -0.005106     -0.005793      0.005793
            14|     -0.004441      0.004441      0.004111      0.003484      0.002812      0.002192      0.001655        0.0012     0.0008118     0.0004701     0.0001561    -0.0001488    -0.0004627    -0.0008043     -0.001193     -0.001649     -0.002187     -0.002811     -0.003489     -0.004126     -0.004463      0.004463
            13|     -0.003534      0.003534      0.003357      0.002953       0.00248      0.002004       0.00156      0.001158     0.0007968     0.0004664     0.0001553    -0.0001493    -0.0004604     -0.000791     -0.001153     -0.001556     -0.002002     -0.002481     -0.002959     -0.003367     -0.003548      0.003548
            12|     -0.002869      0.002869      0.002765      0.002493      0.002151      0.001785      0.001422      0.001076     0.0007506     0.0004434     0.0001481    -0.0001432    -0.0004387    -0.0007463     -0.001072     -0.001419     -0.001784     -0.002153     -0.002497     -0.002772     -0.002877      0.002877
            11|     -0.002357      0.002357      0.002293        0.0021      0.001847      0.001563      0.001267     0.0009728     0.0006864     0.0004085     0.0001367    -0.0001329    -0.0004048    -0.0006832    -0.0009702     -0.001265     -0.001562     -0.001849     -0.002103     -0.002298     -0.002362      0.002362
            10|      -0.00195       0.00195      0.001909      0.001767      0.001575      0.001351       0.00111     0.0008622     0.0006137     0.0003674     0.0001232    -0.0001202    -0.0003646    -0.0006113    -0.0008603     -0.001109     -0.001351     -0.001576     -0.001769     -0.001912     -0.001954      0.001954
             9|     -0.001619      0.001619      0.001591      0.001484      0.001335      0.001157     0.0009599      0.000752      0.000539     0.0003242     0.0001088    -0.0001066    -0.0003221    -0.0005373    -0.0007507    -0.0009592     -0.001157     -0.001336     -0.001485     -0.001593     -0.001621      0.001621
             8|     -0.001344      0.001344      0.001324      0.001241      0.001125     0.0009818     0.0008206     0.0006471     0.0004662     0.0002814     9.454e-05    -9.287e-05    -0.0002798     -0.000465    -0.0006462    -0.0008201     -0.000982     -0.001125     -0.001243     -0.001326     -0.001346      0.001346
             7|     -0.001112      0.001112      0.001098      0.001033     0.0009401     0.0008252     0.0006934     0.0005495     0.0003975     0.0002405     8.087e-05    -7.963e-05    -0.0002394    -0.0003965    -0.0005488    -0.0006931    -0.0008254    -0.0009407     -0.001034     -0.001099     -0.001113      0.001113
             6|    -0.0009131     0.0009131     0.0009029     0.0008517      0.000778     0.0006856     0.0005783       0.00046     0.0003337     0.0002023     6.806e-05    -6.715e-05    -0.0002015     -0.000333    -0.0004595    -0.0005781    -0.0006857    -0.0007784    -0.0008524    -0.0009039    -0.0009141     0.0009141
             5|    -0.0007407     0.0007407     0.0007333     0.0006929     0.0006345     0.0005607     0.0004744     0.0003783     0.0002751      0.000167      5.62e-05    -5.554e-05    -0.0001664    -0.0002746     -0.000378    -0.0004743    -0.0005608    -0.0006348    -0.0006934    -0.0007339    -0.0007415     0.0007415
             4|     -0.000589      0.000589     0.0005835     0.0005521     0.0005064     0.0004485     0.0003802     0.0003038     0.0002212     0.0001345     4.526e-05    -4.478e-05     -0.000134    -0.0002209    -0.0003036    -0.0003801    -0.0004486    -0.0005067    -0.0005524    -0.0005839    -0.0005895     0.0005895
             3|    -0.0004532     0.0004532     0.0004492     0.0004254     0.0003907     0.0003465     0.0002942     0.0002354     0.0001716     0.0001044     3.514e-05    -3.481e-05    -0.0001041    -0.0001714    -0.0002352    -0.0002942    -0.0003466    -0.0003909    -0.0004257    -0.0004495    -0.0004536     0.0004536
             2|    -0.0003295     0.0003295     0.0003266     0.0003095     0.0002846     0.0002526     0.0002147      0.000172     0.0001255     7.637e-05     2.571e-05    -2.548e-05    -7.617e-05    -0.0001253    -0.0001719    -0.0002147    -0.0002527    -0.0002847    -0.0003097    -0.0003269    -0.0003297     0.0003297
             1|    -0.0002144     0.0002144     0.0002126     0.0002015     0.0001854     0.0001647     0.0001401     0.0001122     8.195e-05      4.99e-05     1.679e-05    -1.666e-05    -4.977e-05    -8.185e-05    -0.0001122    -0.0001401    -0.0001647    -0.0001855    -0.0002017    -0.0002127    -0.0002145     0.0002145
             0|    -0.0001049     0.0001049      0.000104     9.865e-05     9.077e-05     8.066e-05     6.863e-05     5.502e-05     4.018e-05     2.447e-05     8.235e-06    -8.173e-06    -2.441e-05    -4.014e-05    -5.499e-05    -6.863e-05    -8.068e-05    -9.081e-05    -9.871e-05    -0.0001041     -0.000105      0.000105
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0

p (22x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            20|      -0.03659      -0.03659      -0.02673      -0.02075      -0.01651       -0.0132      -0.01044     -0.008025     -0.005832     -0.003777     -0.001798     0.0001556      0.002132      0.004184      0.006373      0.008782       0.01154       0.01486       0.01916       0.02534       0.03558       0.03558
            19|      -0.03659      -0.03659      -0.02673      -0.02075      -0.01651       -0.0132      -0.01044     -0.008025     -0.005832     -0.003777     -0.001798     0.0001556      0.002132      0.004184      0.006373      0.008782       0.01154       0.01486       0.01916       0.02534       0.03558       0.03558
            18|      -0.02678      -0.02678      -0.02295      -0.01901      -0.01558      -0.01265       -0.0101     -0.007806     -0.005694     -0.003699     -0.001771     0.0001361      0.002064      0.004056      0.006165      0.008455       0.01101       0.01395        0.0174       0.02144        0.0255        0.0255
            17|      -0.02096      -0.02096      -0.01915      -0.01667      -0.01413      -0.01172     -0.009483       -0.0074     -0.005435     -0.003553     -0.001719     9.901e-05      0.001933      0.003816      0.005782       0.00787       0.01012       0.01255       0.01513       0.01768       0.01958       0.01958
            16|      -0.01703      -0.01703      -0.01603      -0.01441      -0.01254      -0.01061     -0.008716     -0.006875     -0.005093     -0.003358     -0.001651     4.591e-05      0.001754      0.003491      0.005278      0.007126      0.009039       0.01099        0.0129       0.01456        0.0156        0.0156
            15|      -0.01416      -0.01416      -0.01353      -0.01241      -0.01102      -0.00948      -0.00789     -0.006292     -0.004706     -0.003134     -0.001574     -1.78e-05      0.001544      0.003118      0.004711      0.006317      0.007921      0.009477        0.0109       0.01204       0.01269       0.01269
            14|      -0.01194      -0.01194      -0.01151       -0.0107     -0.009632     -0.008399     -0.007072     -0.005698     -0.004303     -0.002899     -0.001493    -8.682e-05      0.001321      0.002728      0.004129      0.005511      0.006849      0.008096      0.009182          0.01       0.01045       0.01045
            13|      -0.01018      -0.01018     -0.009859     -0.009249     -0.008411     -0.007411     -0.006303     -0.005126     -0.003908     -0.002667     -0.001414    -0.0001568      0.001098      0.002342      0.003566       0.00475      0.005867      0.006878      0.007727      0.008347      0.008674      0.008674
            12|     -0.008749     -0.008749     -0.008503     -0.008025     -0.007354     -0.006533     -0.005603     -0.004595     -0.003537     -0.002447     -0.001338    -0.0002244     0.0008851      0.001978      0.003041      0.004054      0.004992       0.00582      0.006499      0.006984      0.007234      0.007234
            11|     -0.007574     -0.007574     -0.007378     -0.006994     -0.006446     -0.005765     -0.004979     -0.004116     -0.003198     -0.002244     -0.001269    -0.0002875     0.0006883      0.001645      0.002566      0.003434      0.004225      0.004912      0.005466      0.005854      0.006052      0.006052
            10|     -0.006602     -0.006602     -0.006442     -0.006127     -0.005673     -0.005101     -0.004433     -0.003691     -0.002895     -0.002062     -0.001207    -0.0003449     0.0005109      0.001346      0.002145       0.00289      0.003562      0.004139      0.004597      0.004915      0.005076      0.005076
             9|     -0.005795     -0.005795     -0.005663       -0.0054     -0.005018     -0.004533     -0.003961     -0.003321     -0.002629     -0.001901     -0.001152    -0.0003959      0.000354      0.001083      0.001777       0.00242      0.002995      0.003483      0.003867      0.004132      0.004266      0.004266
             8|     -0.005125     -0.005125     -0.005014     -0.004791     -0.004466     -0.004051     -0.003558     -0.003003       -0.0024     -0.001762     -0.001105    -0.0004406     0.0002176      0.000856      0.001461      0.002018      0.002513      0.002931      0.003258      0.003482      0.003594      0.003594
             7|     -0.004572     -0.004572     -0.004476     -0.004285     -0.004005     -0.003646     -0.003218     -0.002733     -0.002204     -0.001644     -0.001065    -0.0004789     0.0001008      0.000662      0.001192      0.001678      0.002108      0.002469      0.002751      0.002943      0.003039      0.003039
             6|     -0.004117     -0.004117     -0.004034     -0.003868     -0.003624      -0.00331     -0.002934     -0.002507      -0.00204     -0.001544     -0.001031    -0.0005113      2.45e-06     0.0004991     0.0009671      0.001395      0.001772      0.002088      0.002333        0.0025      0.002583      0.002583
