t: 8.91495
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            19|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
            18|      -0.08606       0.08606       0.05957       0.04407       0.03524       0.02966       0.02578       0.02295       0.02078       0.01908       0.01776       0.01676       0.01607       0.01562       0.01531       0.01409       0.01057       -0.0054      -0.04604        -0.134       -0.2639        0.2639
            17|      -0.04789       0.04789       0.06179       0.05414       0.04633       0.04063       0.03654        0.0333       0.03091       0.02926       0.02826       0.02794       0.02847       0.02993       0.03189       0.03206       0.02484      0.006988      -0.05007       -0.1861        -0.355         0.355
            16|      -0.03706       0.03706       0.05317        0.0508       0.04586       0.04164       0.03843       0.03605        0.0345       0.03384        0.0342       0.03588       0.03917       0.04414       0.04956       0.05069        0.0381      0.003515      -0.06696       -0.2159       -0.3837        0.3837
            15|      -0.03013       0.03013       0.04662       0.04691       0.04382       0.04078       0.03842       0.03684       0.03613       0.03649        0.0382       0.04174       0.04757       0.05572       0.06424        0.0664       0.04935    -0.0007064      -0.09091       -0.2419       -0.3858        0.3858
            14|      -0.02565       0.02565       0.04134       0.04296       0.04118       0.03914       0.03755       0.03663       0.03658       0.03765       0.04024       0.04488        0.0522       0.06224       0.07264       0.07546       0.05544     -0.005903        -0.112       -0.2548       -0.3691        0.3691
            13|      -0.02246       0.02246       0.03696        0.0392       0.03828       0.03697       0.03598       0.03554       0.03588       0.03727       0.04008       0.04486        0.0522        0.0622       0.07236       0.07419        0.0518        -0.012       -0.1187       -0.2493       -0.3362        0.3362
            12|      -0.01999       0.01999       0.03317       0.03563       0.03524       0.03444       0.03384       0.03368       0.03414       0.03545       0.03789       0.04183       0.04769       0.05546       0.06299       0.06297       0.04151      -0.01628       -0.1128        -0.227       -0.2899        0.2899
            11|      -0.01791       0.01791       0.02977       0.03222       0.03214       0.03164       0.03127       0.03119       0.03155       0.03249       0.03415       0.03667       0.04013       0.04426       0.04752       0.04496       0.02661      -0.01962      -0.09857       -0.1921       -0.2342        0.2342
            10|      -0.01604       0.01604       0.02662       0.02893         0.029       0.02867       0.02838       0.02826       0.02839       0.02882       0.02955       0.03054       0.03155       0.03206       0.03083       0.02507      0.009222      -0.02451      -0.08198       -0.1507       -0.1747        0.1747
             9|       -0.0143        0.0143       0.02364       0.02574       0.02587       0.02561       0.02532       0.02508       0.02493       0.02483       0.02471       0.02439       0.02349       0.02137       0.01698      0.008631     -0.006152      -0.03084      -0.06849       -0.1113       -0.1181        0.1181
             8|      -0.01262       0.01262       0.02078       0.02264       0.02277       0.02252       0.02219       0.02183       0.02141       0.02087       0.02008       0.01882        0.0167       0.01312      0.007254     -0.001947       -0.0156      -0.03446      -0.05821      -0.08028      -0.07311       0.07311
             7|      -0.01099       0.01099       0.01802       0.01963       0.01973       0.01948        0.0191       0.01862         0.018       0.01715       0.01593       0.01412       0.01139      0.007269      0.001194     -0.007452      -0.01904      -0.03328      -0.04827      -0.05798      -0.04462       0.04462
             6|     -0.009395      0.009395       0.01535       0.01671       0.01678       0.01651       0.01611       0.01556       0.01483       0.01381       0.01238       0.01035      0.007464      0.003412     -0.002144     -0.009496      -0.01864      -0.02892      -0.03833       -0.0421      -0.02903       0.02903
             5|     -0.007827      0.007827       0.01276       0.01388       0.01392       0.01366       0.01326        0.0127       0.01193       0.01087      0.009422      0.007428      0.004713      0.001086      -0.00363     -0.009502      -0.01636      -0.02354      -0.02944      -0.03074      -0.02023       0.02023
             4|     -0.006286      0.006286       0.01024       0.01114       0.01116       0.01093       0.01056       0.01003      0.009317      0.008338      0.007009      0.005227      0.002876    -0.0001512     -0.003923     -0.008406      -0.01338       -0.0183      -0.02204       -0.0224      -0.01451       0.01451
             3|      -0.00477       0.00477      0.007796      0.008488      0.008499      0.008309      0.008003      0.007569      0.006968      0.006149      0.005048      0.003593      0.001714    -0.0006434     -0.003491     -0.006759      -0.01025      -0.01356      -0.01595      -0.01596      -0.01029       0.01029
             2|     -0.003282      0.003282      0.005415      0.005915       0.00593      0.005799      0.005584      0.005273      0.004837      0.004239      0.003434      0.002375      0.001021    -0.0006534     -0.002638     -0.004866     -0.007187     -0.009328      -0.01082      -0.01073     -0.006884      0.006884
             1|     -0.001855      0.001855      0.003142      0.003457      0.003478      0.003413        0.0033       0.00313      0.002883      0.002536       0.00206      0.001428     0.0006146    -0.0003912      -0.00158     -0.002906     -0.004272     -0.005516     -0.006364     -0.006282     -0.003985      0.003985
             0|    -0.0006262     0.0006262      0.001152      0.001286      0.001302      0.001291      0.001264      0.001218      0.001142      0.001026     0.0008569     0.0006223     0.0003117     -8.06e-05    -0.0005569     -0.001097     -0.001659     -0.002174     -0.002526     -0.002486     -0.001518      0.001518
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0

p (22x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
