t: 8.91495
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
            17|             0      -0.03691     -0.005746      -0.01097     -0.002635      0.001924      0.003889      0.003959      0.001791     -0.001194     -0.006669      -0.01182      -0.02965       -0.0514      -0.06771      -0.04164       0.06509        0.3211         1.033         1.509        0.4969             0
            16|             0      -0.01815     -0.004485     -0.005435     -0.003653     -0.001838    -0.0007116     -0.000245    -0.0005235     -0.001962     -0.005525      -0.01305      -0.01986      -0.03943      -0.05333      -0.01579        0.1289        0.3122        0.5536        0.8086        0.3547             0
            15|             0      -0.01021     -0.002552     -0.003587     -0.002658      -0.00149    -0.0006475    -0.0001886    -0.0002277      -0.00114     -0.003825       -0.0101      -0.02243      -0.03516      -0.03313       0.03155        0.2655        0.6082        0.9051        0.6907        0.1685             0
            14|             0     -0.007192     -0.002059     -0.002741     -0.002167     -0.001351    -0.0007087    -0.0003438    -0.0003945     -0.001213      -0.00363     -0.009368      -0.02088      -0.03609      -0.02723       0.08964        0.4135         0.815        0.9213        0.4865       0.02635             0
            13|             0     -0.005726     -0.001862     -0.002349     -0.001993     -0.001447      -0.00101    -0.0007999     -0.000967     -0.001844     -0.004186     -0.009591      -0.02062      -0.03677      -0.03616       0.05177        0.3013        0.6414        0.6957        0.2282       -0.1645             0
            12|             0     -0.004953     -0.001761     -0.002155     -0.001959      -0.00163     -0.001387     -0.001344     -0.001649     -0.002604     -0.004861     -0.009822      -0.02005      -0.03739      -0.05165      -0.02101        0.1063        0.3342        0.3296      -0.08469       -0.3475             0
            11|             0     -0.004525     -0.001685     -0.002041     -0.001963     -0.001797      -0.00171     -0.001801     -0.002203     -0.003165      -0.00519     -0.009333      -0.01768      -0.03326      -0.05583      -0.07072      -0.04648       0.04521        -0.013       -0.3277       -0.4528             0
            10|             0     -0.004274     -0.001609      -0.00195     -0.001952     -0.001897     -0.001912     -0.002081     -0.002511     -0.003386     -0.005056     -0.008203      -0.01416      -0.02536      -0.04493      -0.07316      -0.08269       -0.1231       -0.2028       -0.4014       -0.4302             0
             9|             0     -0.004115     -0.001531     -0.001859     -0.001909     -0.001915     -0.001982     -0.002172     -0.002563     -0.003284     -0.004558     -0.006792      -0.01075      -0.01784      -0.03047      -0.04392       -0.0907       -0.1381       -0.2044       -0.2918       -0.2787             0
             8|             0     -0.003998      -0.00145     -0.001762     -0.001832     -0.001863     -0.001938     -0.002105     -0.002415     -0.002951     -0.003848     -0.005344     -0.007859      -0.01215      -0.01801      -0.03343      -0.05864      -0.08881       -0.1206        -0.133        -0.107             0
             7|             0     -0.003902      -0.00137      -0.00166      -0.00173      -0.00176     -0.001816     -0.001932     -0.002141     -0.002492     -0.003067     -0.004003     -0.005537     -0.008071      -0.01147      -0.02163      -0.03319      -0.04725      -0.05687      -0.04785      -0.01905             0
             6|             0     -0.003815     -0.001294     -0.001558     -0.001615     -0.001628      -0.00165     -0.001704     -0.001811     -0.001999     -0.002317     -0.002848     -0.003731     -0.004886     -0.008388      -0.01273      -0.01851      -0.02478      -0.02757      -0.02082      0.003139             0
             5|             0     -0.003734     -0.001224     -0.001461       -0.0015     -0.001488     -0.001471     -0.001464      -0.00148     -0.001535     -0.001662     -0.001914     -0.002384     -0.003119     -0.005177     -0.007498      -0.01057      -0.01372      -0.01498      -0.01148      0.005678             0
             4|             0     -0.003659      -0.00116     -0.001371     -0.001392     -0.001357     -0.001304     -0.001246     -0.001189     -0.001145     -0.001138      -0.00121     -0.001428     -0.001998     -0.003075     -0.004465     -0.006295     -0.008157     -0.008967     -0.007085      0.005249             0
             3|             0      -0.00357     -0.001085     -0.001279     -0.001289     -0.001238     -0.001163     -0.001071    -0.0009671    -0.0008624    -0.0007759     -0.000743      -0.00082     -0.001193     -0.001818     -0.002743     -0.003975     -0.005246     -0.005881     -0.004795      0.004656             0
             2|             0     -0.003376    -0.0009496     -0.001134     -0.001148       -0.0011     -0.001024    -0.0009298    -0.0008212    -0.0007062    -0.0006012    -0.0005354    -0.0005551    -0.0007662     -0.001173     -0.001843     -0.002745     -0.003686     -0.004199     -0.003508      0.004207             0
             1|             0     -0.002809    -0.0006569    -0.0008126    -0.0008368    -0.0008105    -0.0007645    -0.0007074    -0.0006428    -0.0005765    -0.0005195    -0.0004909    -0.0005206    -0.0006719    -0.0009369     -0.001413     -0.002046     -0.002695     -0.003034     -0.002518      0.003788             0
             0|             0    -0.0001143      0.002051      0.002249      0.002267      0.002247      0.002203      0.002125      0.001993      0.001785      0.001474      0.001028     0.0004135    -0.0005164      -0.00165     -0.002979     -0.004452     -0.005859     -0.006775     -0.006407      -0.00059             0
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0

